run_id,t,X,I,X0,I0
0,0,0.0025,0.000125,0.1,0.0
0,1,0.0,0.00011875,0.1,0.0
0,2,0.0,0.0001128125,0.1,0.0
0,3,0.0,0.000107171875,0.1,0.0
0,4,0.0,0.00010181328125,0.1,0.0
0,5,0.0,9.67226171875e-05,0.1,0.0
0,6,0.0,9.1886486328125e-05,0.1,0.0
0,7,0.0,8.729216201171874e-05,0.1,0.0
0,8,0.0,8.292755391113281e-05,0.1,0.0
0,9,0.0,7.878117621557616e-05,0.1,0.0
0,10,0.0,7.484211740479735e-05,0.1,0.0
0,11,0.0,7.110001153455748e-05,0.1,0.0
0,12,0.0,6.75450109578296e-05,0.1,0.0
0,13,0.0,6.416776040993813e-05,0.1,0.0
0,14,0.0,6.095937238944122e-05,0.1,0.0
0,15,0.0,5.791140376996916e-05,0.1,0.0
0,16,0.0,5.50158335814707e-05,0.1,0.0
0,17,0.0,5.226504190239717e-05,0.1,0.0
0,18,0.0,4.965178980727731e-05,0.1,0.0
0,19,0.0,4.716920031691344e-05,0.1,0.0
0,20,0.0,4.481074030106777e-05,0.1,0.0
0,21,0.0,4.257020328601438e-05,0.1,0.0
0,22,0.0,4.044169312171366e-05,0.1,0.0
0,23,0.0,3.841960846562797e-05,0.1,0.0
0,24,0.0,3.649862804234657e-05,0.1,0.0
0,25,0.0,3.4673696640229245e-05,0.1,0.0
0,26,0.0,3.294001180821778e-05,0.1,0.0
0,27,0.0,3.129301121780689e-05,0.1,0.0
0,28,0.0,2.9728360656916543e-05,0.1,0.0
0,29,0.0,2.8241942624070717e-05,0.1,0.0
0,30,0.0,2.6829845492867183e-05,0.1,0.0
0,31,0.0,2.5488353218223825e-05,0.1,0.0
0,32,0.0,2.4213935557312634e-05,0.1,0.0
0,33,0.0,2.3003238779447003e-05,0.1,0.0
0,34,0.0,2.1853076840474653e-05,0.1,0.0
0,35,0.0,2.076042299845092e-05,0.1,0.0
0,36,0.0,1.9722401848528376e-05,0.1,0.0
0,37,0.0,1.8736281756101958e-05,0.1,0.0
0,38,0.0,1.779946766829686e-05,0.1,0.0
0,39,0.0,1.6909494284882017e-05,0.1,0.0
0,40,0.0,1.6064019570637917e-05,0.1,0.0
0,41,0.0,1.5260818592106022e-05,0.1,0.0
0,42,0.0,1.4497777662500722e-05,0.1,0.0
0,43,0.0,1.3772888779375686e-05,0.1,0.0
0,44,0.0,1.3084244340406901e-05,0.1,0.0
0,45,0.0,1.2430032123386556e-05,0.1,0.0
0,46,0.0,1.180853051721723e-05,0.1,0.0
0,47,0.0,1.1218103991356369e-05,0.1,0.0
0,48,0.0,1.065719879178855e-05,0.1,0.0
0,49,0.0,1.0124338852199123e-05,0.1,0.0
1,0,0.0075,0.000375,0.2,0.0
1,1,0.0,0.00035625,0.2,0.0
1,2,0.0,0.00033843750000000003,0.2,0.0
1,3,0.0,0.000321515625,0.2,0.0
1,4,0.0,0.00030543984375,0.2,0.0
1,5,0.0,0.0002901678515625,0.2,0.0
1,6,0.0,0.000275659458984375,0.2,0.0
1,7,0.0,0.00026187648603515627,0.2,0.0
1,8,0.0,0.00024878266173339846,0.2,0.0
1,9,0.0,0.00023634352864672852,0.2,0.0
1,10,0.0,0.0002245263522143921,0.2,0.0
1,11,0.0,0.0002133000346036725,0.2,0.0
1,12,0.0,0.00020263503287348887,0.2,0.0
1,13,0.0,0.00019250328122981443,0.2,0.0
1,14,0.0,0.00018287811716832372,0.2,0.0
1,15,0.0,0.00017373421130990752,0.2,0.0
1,16,0.0,0.00016504750074441214,0.2,0.0
1,17,0.0,0.00015679512570719153,0.2,0.0
1,18,0.0,0.00014895536942183195,0.2,0.0
1,19,0.0,0.00014150760095074034,0.2,0.0
1,20,0.0,0.0001344322209032033,0.2,0.0
1,21,0.0,0.00012771060985804314,0.2,0.0
1,22,0.0,0.00012132507936514099,0.2,0.0
1,23,0.0,0.00011525882539688394,0.2,0.0
1,24,0.0,0.00010949588412703974,0.2,0.0
1,25,0.0,0.00010402108992068774,0.2,0.0
1,26,0.0,9.882003542465336e-05,0.2,0.0
1,27,0.0,9.387903365342068e-05,0.2,0.0
1,28,0.0,8.918508197074964e-05,0.2,0.0
1,29,0.0,8.472582787221216e-05,0.2,0.0
1,30,0.0,8.048953647860155e-05,0.2,0.0
1,31,0.0,7.646505965467148e-05,0.2,0.0
1,32,0.0,7.26418066719379e-05,0.2,0.0
1,33,0.0,6.900971633834101e-05,0.2,0.0
1,34,0.0,6.555923052142396e-05,0.2,0.0
1,35,0.0,6.228126899535276e-05,0.2,0.0
1,36,0.0,5.916720554558512e-05,0.2,0.0
1,37,0.0,5.6208845268305864e-05,0.2,0.0
1,38,0.0,5.3398403004890574e-05,0.2,0.0
1,39,0.0,5.0728482854646043e-05,0.2,0.0
1,40,0.0,4.8192058711913744e-05,0.2,0.0
1,41,0.0,4.578245577631806e-05,0.2,0.0
1,42,0.0,4.3493332987502154e-05,0.2,0.0
1,43,0.0,4.131866633812704e-05,0.2,0.0
1,44,0.0,3.925273302122069e-05,0.2,0.0
1,45,0.0,3.729009637015966e-05,0.2,0.0
1,46,0.0,3.542559155165168e-05,0.2,0.0
1,47,0.0,3.3654311974069096e-05,0.2,0.0
1,48,0.0,3.197159637536564e-05,0.2,0.0
1,49,0.0,3.0373016556597356e-05,0.2,0.0
2,0,0.1925,0.009625000000000002,0.30000000000000004,0.0
2,1,0.26,0.022143750000000004,0.30000000000000004,0.0
2,2,0.3575,0.0389115625,0.30000000000000004,0.0
2,3,0.52,0.062965984375,0.30000000000000004,0.0
