X0,I0,X_final
0.0,0.0,0.0
0.0,0.05,0.0
0.0,0.1,0.0
0.0,0.15000000000000002,0.0
0.0,0.2,0.0
0.0,0.25,0.0
0.0,0.30000000000000004,0.0
0.0,0.35000000000000003,0.0
0.0,0.4,0.0
0.0,0.45,0.0
0.0,0.5,0.0
0.0,0.55,0.0
0.0,0.6000000000000001,0.0
0.0,0.65,0.0
0.0,0.7000000000000001,0.0
0.0,0.75,0.0
0.0,0.8,0.0
0.0,0.8500000000000001,0.0
0.0,0.9,0.0
0.0,0.9500000000000001,0.0
0.0,1.0,0.0
0.05,0.0,0.000125
0.05,0.05,0.00025
0.05,0.1,0.0
0.05,0.15000000000000002,0.0
0.05,0.2,0.000375
0.05,0.25,0.000125
0.05,0.30000000000000004,0.000125
0.05,0.35000000000000003,0.000125
0.05,0.4,0.000125
0.05,0.45,0.000125
0.05,0.5,0.000125
0.05,0.55,0.000125
0.05,0.6000000000000001,0.00025
0.05,0.65,0.000375
0.05,0.7000000000000001,0.000125
0.05,0.75,0.0
0.05,0.8,0.000375
0.05,0.8500000000000001,0.0005
0.05,0.9,0.0
0.05,0.9500000000000001,0.000125
0.05,1.0,0.000125
0.1,0.0,0.0017499999999999998
0.1,0.05,0.0005
0.1,0.1,0.0
0.1,0.15000000000000002,0.00025
0.1,0.2,0.056374999999999995
0.1,0.25,0.0
0.1,0.30000000000000004,0.000375
0.1,0.35000000000000003,0.0036250000000000006
0.1,0.4,0.0016250000000000001
0.1,0.45,0.000625
0.1,0.5,0.001375
0.1,0.55,0.000125
0.1,0.6000000000000001,0.00025
0.1,0.65,0.001875
0.1,0.7000000000000001,0.0018750000000000004
0.1,0.75,0.00025
0.1,0.8,0.00025
0.1,0.8500000000000001,0.0
0.1,0.9,0.0005
0.1,0.9500000000000001,0.050124999999999996
0.1,1.0,0.0
0.15000000000000002,0.0,0.05375
0.15000000000000002,0.05,0.10037499999999999
0.15000000000000002,0.1,0.00025
0.15000000000000002,0.15000000000000002,0.008250000000000002
0.15000000000000002,0.2,0.01225
0.15000000000000002,0.25,0.061999999999999986
0.15000000000000002,0.30000000000000004,0.06137499999999999
0.15000000000000002,0.35000000000000003,0.006500000000000001
0.15000000000000002,0.4,0.011125000000000001
0.15000000000000002,0.45,0.10262500000000001
0.15000000000000002,0.5,0.013125000000000001
0.15000000000000002,0.55,0.00025
0.15000000000000002,0.6000000000000001,0.00425
0.15000000000000002,0.65,0.00025
0.15000000000000002,0.7000000000000001,0.05199999999999999
0.15000000000000002,0.75,0.052000000000000005
0.15000000000000002,0.8,0.00075
0.15000000000000002,0.8500000000000001,0.0005
0.15000000000000002,0.9,0.000375
0.15000000000000002,0.9500000000000001,0.000125
0.15000000000000002,1.0,0.00025
