beta_I,mean_X_final,std_X_final,min_X_final,max_X_final
0.0,0.8578750000000002,0.33347439463173184,0.0,1.0
0.1,0.7285,0.41401343577231886,0.0375,1.0
0.2,0.9075000000000001,0.2716845597379432,0.085,1.0
0.30000000000000004,0.9047499999999999,0.28187197891950877,0.02,1.0
0.4,0.8633749999999999,0.3222230157437547,0.0,1.0
0.5,0.8631250000000001,0.3226858718242867,0.0925,1.0
0.6000000000000001,0.9091250000000001,0.2647478458363732,0.05,1.0
0.7000000000000001,0.909,0.2676055866382464,0.0975,1.0
0.8,0.89975,0.29455039891332685,0.0,1.0
0.9,0.7167500000000001,0.4313685344343048,0.02,1.0
1.0,0.90675,0.27556090524600907,0.035,1.0
1.1,0.852625,0.3464069815621504,0.0,1.0
1.2000000000000002,0.90525,0.2809502847480315,0.05,1.0
1.3,0.90575,0.27789285255292195,0.045,1.0
1.4000000000000001,0.867625,0.31095465404942885,0.0525,1.0
1.5,0.8568750000000002,0.335154698422982,0.04,1.0
1.6,0.8554999999999999,0.34050569011398324,0.0325,1.0
1.7000000000000002,0.9964999999999999,0.002549509756796387,0.9925,1.0
1.8,0.8584999999999999,0.3338173153088378,0.0425,1.0
1.9000000000000001,0.763375,0.4071165949393368,0.0325,1.0
2.0,0.9028750000000001,0.2859898107887762,0.0325,1.0
2.1,0.8125,0.37304071493605095,0.025,1.0
2.2,0.9493750000000001,0.2109278238521414,0.03,1.0
2.3000000000000003,0.7649999999999999,0.40478466497633037,0.0025,1.0
2.4000000000000004,0.814875,0.3666397030805584,0.0325,1.0
2.5,0.953,0.19627245094510845,0.0975,1.0
2.6,0.9032500000000001,0.2840775642320245,0.0,1.0
2.7,0.7200000000000001,0.4254806106040557,0.0275,1.0
2.8000000000000003,0.8987499999999999,0.2958657846051145,0.0,1.0
2.9000000000000004,0.7110000000000001,0.4392887717663633,0.0,1.0
3.0,0.951,0.21014935165258064,0.035,1.0
3.1,0.900375,0.2955770574232716,0.0,1.0
3.2,0.9019999999999999,0.287352788397816,0.0325,1.0
3.3000000000000003,0.8612500000000001,0.32511296113812505,0.065,1.0
3.4000000000000004,0.950375,0.20714921403423187,0.0475,1.0
3.5,0.9974999999999999,0.0025000000000000022,0.99,1.0
3.6,0.9487500000000001,0.21766301362427198,0.0,1.0
3.7,0.9057499999999999,0.277766876174968,0.065,1.0
3.8000000000000003,0.9057499999999999,0.277030120203562,0.0225,1.0
3.9000000000000004,0.86,0.3297773870355577,0.03,1.0
4.0,0.7677499999999999,0.397994896324061,0.035,1.0
4.1000000000000005,0.95225,0.20183517409014715,0.0725,1.0
4.2,0.853375,0.3442793878160585,0.0,1.0
4.3,0.9033749999999999,0.2834169576348599,0.02,1.0
4.4,0.8551249999999999,0.339736547746927,0.025,1.0
4.5,0.8512500000000001,0.35002455271023486,0.0,1.0
4.6000000000000005,0.950375,0.20943566285377474,0.0375,1.0
4.7,0.8137500000000001,0.3706822257675704,0.02,1.0
4.800000000000001,0.854125,0.3456445744909068,0.0,1.0
4.9,0.860375,0.32835315877116217,0.0425,1.0
5.0,0.903875,0.2846340578268876,0.045,1.0
