X0,ratio,X_final
0.0,0.8,0.0
0.0,0.89,0.0
0.0,0.9800000000000001,0.0
0.0,1.07,0.0
0.0,1.1600000000000001,0.0
0.0,1.25,0.0
0.0,1.34,0.0
0.0,1.4300000000000002,0.0
0.0,1.52,0.0
0.0,1.61,0.0
0.0,1.7000000000000002,0.0
0.0,1.79,0.0
0.0,1.8800000000000001,0.0
0.0,1.9700000000000002,0.0
0.0,2.0600000000000005,0.0
0.0,2.1500000000000004,0.0
0.0,2.24,0.0
0.0,2.33,0.0
0.0,2.42,0.0
0.0,2.5100000000000002,0.0
0.0,2.6000000000000005,0.0
0.0,2.6900000000000004,0.0
0.0,2.7800000000000002,0.0
0.0,2.87,0.0
0.0,2.96,0.0
0.0,3.0500000000000007,0.0
0.0,3.1400000000000006,0.0
0.0,3.2300000000000004,0.0
0.0,3.3200000000000003,0.0
0.0,3.41,0.0
0.0,3.5,0.0
0.05,0.8,0.000125
0.05,0.89,0.0
0.05,0.9800000000000001,0.0
0.05,1.07,0.000125
0.05,1.1600000000000001,0.00025
0.05,1.25,0.00025
0.05,1.34,0.000375
0.05,1.4300000000000002,0.0
0.05,1.52,0.000125
0.05,1.61,0.00025
0.05,1.7000000000000002,0.0
0.05,1.79,0.0
0.05,1.8800000000000001,0.000125
0.05,1.9700000000000002,0.000125
0.05,2.0600000000000005,0.0
0.05,2.1500000000000004,0.000125
0.05,2.24,0.000125
0.05,2.33,0.000125
0.05,2.42,0.0
0.05,2.5100000000000002,0.0
0.05,2.6000000000000005,0.000125
0.05,2.6900000000000004,0.000125
0.05,2.7800000000000002,0.000375
0.05,2.87,0.0
0.05,2.96,0.000125
0.05,3.0500000000000007,0.0
0.05,3.1400000000000006,0.050124999999999996
0.05,3.2300000000000004,0.000125
0.05,3.3200000000000003,0.000125
0.05,3.41,0.0017500000000000003
0.05,3.5,0.001
0.1,0.8,0.000125
0.1,0.89,0.000625
0.1,0.9800000000000001,0.000125
0.1,1.07,0.00025
0.1,1.1600000000000001,0.00025
0.1,1.25,0.0005
0.1,1.34,0.000125
0.1,1.4300000000000002,0.000375
0.1,1.52,0.000125
0.1,1.61,0.000125
0.1,1.7000000000000002,0.000375
0.1,1.79,0.0
0.1,1.8800000000000001,0.000125
0.1,1.9700000000000002,0.00025
0.1,2.0600000000000005,0.00025
0.1,2.1500000000000004,0.0016250000000000001
0.1,2.24,0.000125
0.1,2.33,0.00625
0.1,2.42,0.0005
0.1,2.5100000000000002,0.099375
0.1,2.6000000000000005,0.010375
0.1,2.6900000000000004,0.0033750000000000004
0.1,2.7800000000000002,0.052875000000000005
0.1,2.87,0.0027500000000000003
0.1,2.96,0.102125
0.1,3.0500000000000007,0.051749999999999984
0.1,3.1400000000000006,0.299875
0.1,3.2300000000000004,0.15450000000000003
0.1,3.3200000000000003,0.15675
0.1,3.41,0.34975
0.1,3.5,0.202875
0.15000000000000002,0.8,0.000375
0.15000000000000002,0.89,0.0005
0.15000000000000002,0.9800000000000001,0.0
0.15000000000000002,1.07,0.000125
0.15000000000000002,1.1600000000000001,0.0
0.15000000000000002,1.25,0.000125
0.15000000000000002,1.34,0.000375
0.15000000000000002,1.4300000000000002,0.000125
0.15000000000000002,1.52,0.00025
0.15000000000000002,1.61,0.000375
0.15000000000000002,1.7000000000000002,0.0008749999999999999
0.15000000000000002,1.79,0.000125
0.15000000000000002,1.8800000000000001,0.0022500000000000003
0.15000000000000002,1.9700000000000002,0.003
0.15000000000000002,2.0600000000000005,0.006
0.15000000000000002,2.1500000000000004,0.05
0.15000000000000002,2.24,0.0027500000000000003
0.15000000000000002,2.33,0.168
0.15000000000000002,2.42,0.0017500000000000003
0.15000000000000002,2.5100000000000002,0.10187500000000001
0.15000000000000002,2.6000000000000005,0.056625
0.15000000000000002,2.6900000000000004,0.3036249999999999
0.15000000000000002,2.7800000000000002,0.36087499999999995
0.15000000000000002,2.87,0.20399999999999996
0.15000000000000002,2.96,0.25425
0.15000000000000002,3.0500000000000007,0.6055
0.15000000000000002,3.1400000000000006,0.35825
0.15000000000000002,3.2300000000000004,0.355125
0.15000000000000002,3.3200000000000003,0.40787500000000004
0.15000000000000002,3.41,0.75175
0.15000000000000002,3.5,0.8018750000000001
0.2,0.8,0.000375
0.2,0.89,0.00025
