X0,ratio,X_final
0.0,0.8,0.0
0.0,0.89,0.0
0.0,0.9800000000000001,0.0
0.0,1.07,0.0
0.0,1.1600000000000001,0.0
0.0,1.25,0.0
0.0,1.34,0.0
0.0,1.4300000000000002,0.0
0.0,1.52,0.0
0.0,1.61,0.0
0.0,1.7000000000000002,0.0
0.0,1.79,0.0
0.0,1.8800000000000001,0.0
0.0,1.9700000000000002,0.0
0.0,2.0600000000000005,0.0
0.0,2.1500000000000004,0.0
0.0,2.24,0.0
0.0,2.33,0.0
0.0,2.42,0.0
0.0,2.5100000000000002,0.0
0.0,2.6000000000000005,0.0
0.0,2.6900000000000004,0.0
0.0,2.7800000000000002,0.0
0.0,2.87,0.0
0.0,2.96,0.0
0.0,3.0500000000000007,0.0
0.0,3.1400000000000006,0.0
0.0,3.2300000000000004,0.0
0.0,3.3200000000000003,0.0
0.0,3.41,0.0
0.0,3.5,0.0
0.05,0.8,0.0
0.05,0.89,0.0
0.05,0.9800000000000001,0.0
0.05,1.07,0.0
0.05,1.1600000000000001,0.0
0.05,1.25,0.0
0.05,1.34,0.0
0.05,1.4300000000000002,0.0
0.05,1.52,0.0
0.05,1.61,0.0
0.05,1.7000000000000002,0.0
0.05,1.79,0.0
0.05,1.8800000000000001,0.0
0.05,1.9700000000000002,0.0
0.05,2.0600000000000005,0.0
0.05,2.1500000000000004,0.0
0.05,2.24,0.0
0.05,2.33,0.0
0.05,2.42,0.0
0.05,2.5100000000000002,0.0
0.05,2.6000000000000005,0.0
0.05,2.6900000000000004,0.0
0.05,2.7800000000000002,0.0
0.05,2.87,0.0
0.05,2.96,0.0
0.05,3.0500000000000007,0.0
0.05,3.1400000000000006,0.0
0.05,3.2300000000000004,0.0
0.05,3.3200000000000003,0.0
0.05,3.41,0.0
0.05,3.5,0.0
0.1,0.8,0.0
0.1,0.89,0.0
0.1,0.9800000000000001,0.0
0.1,1.07,0.0
0.1,1.1600000000000001,0.0
0.1,1.25,0.0
0.1,1.34,0.0
0.1,1.4300000000000002,0.0
0.1,1.52,0.0
0.1,1.61,0.0
0.1,1.7000000000000002,0.0
0.1,1.79,0.0
0.1,1.8800000000000001,0.0
0.1,1.9700000000000002,0.0
0.1,2.0600000000000005,0.0
0.1,2.1500000000000004,0.0
0.1,2.24,0.0
0.1,2.33,0.0
0.1,2.42,0.0
0.1,2.5100000000000002,0.0
0.1,2.6000000000000005,0.0
0.1,2.6900000000000004,0.0
0.1,2.7800000000000002,0.0
0.1,2.87,0.0
0.1,2.96,0.0
0.1,3.0500000000000007,0.0
0.1,3.1400000000000006,0.0
0.1,3.2300000000000004,0.001
0.1,3.3200000000000003,0.0
0.1,3.41,0.0
0.1,3.5,0.0005
0.15000000000000002,0.8,0.0
0.15000000000000002,0.89,0.0
0.15000000000000002,0.9800000000000001,0.0
0.15000000000000002,1.07,0.0
0.15000000000000002,1.1600000000000001,0.0
0.15000000000000002,1.25,0.0
0.15000000000000002,1.34,0.0
0.15000000000000002,1.4300000000000002,0.0
0.15000000000000002,1.52,0.0
0.15000000000000002,1.61,0.0
0.15000000000000002,1.7000000000000002,0.0
0.15000000000000002,1.79,0.0
0.15000000000000002,1.8800000000000001,0.0
0.15000000000000002,1.9700000000000002,0.0
0.15000000000000002,2.0600000000000005,0.0
0.15000000000000002,2.1500000000000004,0.0
0.15000000000000002,2.24,0.05
0.15000000000000002,2.33,0.0
0.15000000000000002,2.42,0.0
0.15000000000000002,2.5100000000000002,0.0
0.15000000000000002,2.6000000000000005,0.01675
0.15000000000000002,2.6900000000000004,0.0
0.15000000000000002,2.7800000000000002,0.0
0.15000000000000002,2.87,0.0
0.15000000000000002,2.96,0.0
0.15000000000000002,3.0500000000000007,0.0
0.15000000000000002,3.1400000000000006,0.0
0.15000000000000002,3.2300000000000004,0.001125
0.15000000000000002,3.3200000000000003,0.0
0.15000000000000002,3.41,0.001375
0.15000000000000002,3.5,0.00075
0.2,0.8,0.0
0.2,0.89,0.0
0.2,0.9800000000000001,0.0
0.2,1.07,0.0
0.2,1.1600000000000001,0.0
0.2,1.25,0.0
0.2,1.34,0.0
0.2,1.4300000000000002,0.0
0.2,1.52,0.0
0.2,1.61,0.0
0.2,1.7000000000000002,0.0
0.2,1.79,0.0
0.2,1.8800000000000001,0.05
