X_mean,X_med,X_q10,X_q25,X_q75,X_q90
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
0.5316249999999999,0.9925,0.0,0.0,0.9975,1.0
